20001124,200011,2000,24,11,2000,November,329,Friday,47,24. 11. 2000,2000-11-24,Q4,2000/Q4,2000/11,2000/47,Weekday,No holiday,No holiday,No holiday,Christmas season,2000-11-20,2000-11-26,2000-11-01,2000-11-30 00:00:00
20010129,200101,2001,29,1,2001,January,29,Monday,5,29. 01. 2001,2001-01-29,Q1,2001/Q1,2001/01,2001/05,Weekday,No holiday,No holiday,No holiday,Normal,2001-01-29,2001-02-04,2001-01-01,2001-01-31 00:00:00
20010117,200101,2001,17,1,2001,January,17,Wednesday,3,17. 01. 2001,2001-01-17,Q1,2001/Q1,2001/01,2001/03,Weekday,No holiday,No holiday,No holiday,Normal,2001-01-15,2001-01-21,2001-01-01,2001-01-31 00:00:00
20010222,200102,2001,22,2,2001,February,53,Thursday,8,22. 02. 2001,2001-02-22,Q1,2001/Q1,2001/02,2001/08,Weekday,No holiday,No holiday,No holiday,Normal,2001-02-19,2001-02-25,2001-02-01,2001-02-28 00:00:00
20010310,200103,2001,10,3,2001,March,69,Saturday,10,10. 03. 2001,2001-03-10,Q1,2001/Q1,2001/03,2001/10,Weekend,No holiday,No holiday,No holiday,Normal,2001-03-05,2001-03-11,2001-03-01,2001-03-31 00:00:00
20001220,200012,2000,20,12,2000,December,355,Wednesday,51,20. 12. 2000,2000-12-20,Q4,2000/Q4,2000/12,2000/51,Weekday,No holiday,No holiday,No holiday,Christmas season,2000-12-18,2000-12-24,2000-12-01,2000-12-31 00:00:00
20001216,200012,2000,16,12,2000,December,351,Saturday,50,16. 12. 2000,2000-12-16,Q4,2000/Q4,2000/12,2000/50,Weekend,No holiday,No holiday,No holiday,Christmas season,2000-12-11,2000-12-17,2000-12-01,2000-12-31 00:00:00
20001112,200011,2000,12,11,2000,November,317,Sunday,45,12. 11. 2000,2000-11-12,Q4,2000/Q4,2000/11,2000/45,Weekend,No holiday,No holiday,No holiday,Normal,2000-11-06,2000-11-12,2000-11-01,2000-11-30 00:00:00
20001023,200010,2000,23,10,2000,October,297,Monday,43,23. 10. 2000,2000-10-23,Q4,2000/Q4,2000/10,2000/43,Weekday,No holiday,No holiday,No holiday,Normal,2000-10-23,2000-10-29,2000-10-01,2000-10-31 00:00:00
20001212,200012,2000,12,12,2000,December,347,Tuesday,50,12. 12. 2000,2000-12-12,Q4,2000/Q4,2000/12,2000/50,Weekday,No holiday,No holiday,No holiday,Christmas season,2000-12-11,2000-12-17,2000-12-01,2000-12-31 00:00:00
20010111,200101,2001,11,1,2001,January,11,Thursday,2,11. 01. 2001,2001-01-11,Q1,2001/Q1,2001/01,2001/02,Weekday,No holiday,No holiday,No holiday,Normal,2001-01-08,2001-01-14,2001-01-01,2001-01-31 00:00:00
20010123,200101,2001,23,1,2001,January,23,Tuesday,4,23. 01. 2001,2001-01-23,Q1,2001/Q1,2001/01,2001/04,Weekday,No holiday,No holiday,No holiday,Normal,2001-01-22,2001-01-28,2001-01-01,2001-01-31 00:00:00
20010215,200102,2001,15,2,2001,February,46,Thursday,7,15. 02. 2001,2001-02-15,Q1,2001/Q1,2001/02,2001/07,Weekday,No holiday,No holiday,No holiday,Normal,2001-02-12,2001-02-18,2001-02-01,2001-02-28 00:00:00
20010331,200103,2001,31,3,2001,March,90,Saturday,13,31. 03. 2001,2001-03-31,Q1,2001/Q1,2001/03,2001/13,Weekend,No holiday,No holiday,No holiday,Normal,2001-03-26,2001-04-01,2001-03-01,2001-03-31 00:00:00
