20001030,200010,2000,30,10,2000,October,304,Monday,44,30. 10. 2000,2000-10-30,Q4,2000/Q4,2000/10,2000/44,Weekday,No holiday,No holiday,No holiday,Normal,2000-10-30,2000-11-05,2000-10-01,2000-10-31 00:00:00
20001209,200012,2000,9,12,2000,December,344,Saturday,49,09. 12. 2000,2000-12-09,Q4,2000/Q4,2000/12,2000/49,Weekend,No holiday,No holiday,No holiday,Christmas season,2000-12-04,2000-12-10,2000-12-01,2000-12-31 00:00:00
20010115,200101,2001,15,1,2001,January,15,Monday,3,15. 01. 2001,2001-01-15,Q1,2001/Q1,2001/01,2001/03,Weekday,No holiday,No holiday,No holiday,Normal,2001-01-15,2001-01-21,2001-01-01,2001-01-31 00:00:00
20010213,200102,2001,13,2,2001,February,44,Tuesday,7,13. 02. 2001,2001-02-13,Q1,2001/Q1,2001/02,2001/07,Weekday,No holiday,No holiday,No holiday,Normal,2001-02-12,2001-02-18,2001-02-01,2001-02-28 00:00:00
20010301,200103,2001,1,3,2001,March,60,Thursday,9,01. 03. 2001,2001-03-01,Q1,2001/Q1,2001/03,2001/09,Weekday,No holiday,No holiday,No holiday,Normal,2001-02-26,2001-03-04,2001-03-01,2001-03-31 00:00:00
20010319,200103,2001,19,3,2001,March,78,Monday,12,19. 03. 2001,2001-03-19,Q1,2001/Q1,2001/03,2001/12,Weekday,No holiday,No holiday,No holiday,Normal,2001-03-19,2001-03-25,2001-03-01,2001-03-31 00:00:00
20001204,200012,2000,4,12,2000,December,339,Monday,49,04. 12. 2000,2000-12-04,Q4,2000/Q4,2000/12,2000/49,Weekday,No holiday,No holiday,No holiday,Christmas season,2000-12-04,2000-12-10,2000-12-01,2000-12-31 00:00:00
20001201,200012,2000,1,12,2000,December,336,Friday,48,01. 12. 2000,2000-12-01,Q4,2000/Q4,2000/12,2000/48,Weekday,No holiday,No holiday,No holiday,Christmas season,2000-11-27,2000-12-03,2000-12-01,2000-12-31 00:00:00
20001103,200011,2000,3,11,2000,November,308,Friday,44,03. 11. 2000,2000-11-03,Q4,2000/Q4,2000/11,2000/44,Weekday,No holiday,No holiday,No holiday,Normal,2000-10-30,2000-11-05,2000-11-01,2000-11-30 00:00:00
20001226,200012,2000,26,12,2000,December,361,Tuesday,52,26. 12. 2000,2000-12-26,Q4,2000/Q4,2000/12,2000/52,Weekday,Holiday,Holiday,Holiday,Winter break,2000-12-25,2000-12-31,2000-12-01,2000-12-31 00:00:00
20001126,200011,2000,26,11,2000,November,331,Sunday,47,26. 11. 2000,2000-11-26,Q4,2000/Q4,2000/11,2000/47,Weekend,No holiday,No holiday,No holiday,Christmas season,2000-11-20,2000-11-26,2000-11-01,2000-11-30 00:00:00
20010116,200101,2001,16,1,2001,January,16,Tuesday,3,16. 01. 2001,2001-01-16,Q1,2001/Q1,2001/01,2001/03,Weekday,No holiday,No holiday,No holiday,Normal,2001-01-15,2001-01-21,2001-01-01,2001-01-31 00:00:00
20010108,200101,2001,8,1,2001,January,8,Monday,2,08. 01. 2001,2001-01-08,Q1,2001/Q1,2001/01,2001/02,Weekday,No holiday,No holiday,No holiday,Normal,2001-01-08,2001-01-14,2001-01-01,2001-01-31 00:00:00
20010216,200102,2001,16,2,2001,February,47,Friday,7,16. 02. 2001,2001-02-16,Q1,2001/Q1,2001/02,2001/07,Weekday,No holiday,No holiday,No holiday,Normal,2001-02-12,2001-02-18,2001-02-01,2001-02-28 00:00:00
20010308,200103,2001,8,3,2001,March,67,Thursday,10,08. 03. 2001,2001-03-08,Q1,2001/Q1,2001/03,2001/10,Weekday,No holiday,No holiday,No holiday,Normal,2001-03-05,2001-03-11,2001-03-01,2001-03-31 00:00:00
